"id","predator","complexity_level","treatment","ring_count","n_initial","n_final","n_eaten","block_id","microcosm_id","date"
1,"Notonecta glauca",0,"Notonecta glauca 0",0,1,1,0,1,14,2017-12-19
2,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,1,6,2018-01-23
3,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,1,11,2018-02-14
4,"Notonecta glauca",0,"Notonecta glauca 0",0,3,2,1,1,30,2017-12-19
5,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,1,29,2018-01-23
6,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,1,21,2018-02-14
7,"Notonecta glauca",0,"Notonecta glauca 0",0,5,3,2,1,8,2017-12-19
8,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,1,13,2018-01-23
9,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,1,18,2018-02-14
10,"Notonecta glauca",0,"Notonecta glauca 0",0,10,2,8,1,5,2017-12-19
11,"Notonecta glauca",0,"Notonecta glauca 0",0,10,0,10,1,7,2018-01-23
12,"Notonecta glauca",0,"Notonecta glauca 0",0,10,4,6,1,22,2018-02-14
13,"Notonecta glauca",0,"Notonecta glauca 0",0,30,25,5,1,7,2017-12-19
14,"Notonecta glauca",0,"Notonecta glauca 0",0,30,18,12,1,10,2018-01-23
15,"Notonecta glauca",0,"Notonecta glauca 0",0,30,13,17,1,17,2018-02-14
16,"Notonecta glauca",0,"Notonecta glauca 0",0,120,105,15,1,21,2017-12-19
17,"Notonecta glauca",0,"Notonecta glauca 0",0,120,95,25,1,20,2018-01-23
18,"Notonecta glauca",0,"Notonecta glauca 0",0,120,77,43,1,6,2018-02-14
19,"Notonecta glauca",1,"Notonecta glauca 1",2,1,1,0,1,25,2017-12-19
20,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,1,27,2018-01-23
21,"Notonecta glauca",1,"Notonecta glauca 1",2,1,1,0,1,9,2018-02-14
22,"Notonecta glauca",1,"Notonecta glauca 1",2,3,0,3,1,29,2017-12-19
23,"Notonecta glauca",1,"Notonecta glauca 1",2,3,3,0,1,11,2018-01-23
24,"Notonecta glauca",1,"Notonecta glauca 1",2,3,0,3,1,29,2018-02-14
25,"Notonecta glauca",1,"Notonecta glauca 1",2,5,5,0,1,3,2017-12-19
26,"Notonecta glauca",1,"Notonecta glauca 1",2,5,2,3,1,22,2018-01-23
27,"Notonecta glauca",1,"Notonecta glauca 1",2,5,2,3,1,12,2018-02-14
28,"Notonecta glauca",1,"Notonecta glauca 1",2,10,9,1,1,24,2017-12-19
29,"Notonecta glauca",1,"Notonecta glauca 1",2,10,9,1,1,2,2018-01-23
30,"Notonecta glauca",1,"Notonecta glauca 1",2,10,4,6,1,1,2018-02-14
31,"Notonecta glauca",1,"Notonecta glauca 1",2,30,23,7,1,18,2017-12-19
32,"Notonecta glauca",1,"Notonecta glauca 1",2,30,22,8,1,18,2018-01-23
33,"Notonecta glauca",1,"Notonecta glauca 1",2,30,26,4,1,13,2018-02-14
34,"Notonecta glauca",1,"Notonecta glauca 1",2,120,117,3,1,15,2017-12-19
35,"Notonecta glauca",1,"Notonecta glauca 1",2,120,107,13,1,21,2018-01-23
36,"Notonecta glauca",1,"Notonecta glauca 1",2,120,108,12,1,15,2018-02-14
37,"Notonecta glauca",2,"Notonecta glauca 2",2,1,1,0,1,10,2017-12-19
38,"Notonecta glauca",2,"Notonecta glauca 2",2,1,1,0,1,24,2018-01-23
39,"Notonecta glauca",2,"Notonecta glauca 2",2,1,0,1,1,2,2018-02-14
40,"Notonecta glauca",2,"Notonecta glauca 2",2,3,2,1,1,11,2017-12-19
41,"Notonecta glauca",2,"Notonecta glauca 2",2,3,0,3,1,1,2018-01-23
42,"Notonecta glauca",2,"Notonecta glauca 2",2,3,1,2,1,27,2018-02-14
43,"Notonecta glauca",2,"Notonecta glauca 2",2,5,2,3,1,26,2017-12-19
44,"Notonecta glauca",2,"Notonecta glauca 2",2,5,3,2,1,16,2018-01-23
45,"Notonecta glauca",2,"Notonecta glauca 2",2,5,4,1,1,8,2018-02-14
46,"Notonecta glauca",2,"Notonecta glauca 2",2,10,7,3,1,9,2017-12-19
47,"Notonecta glauca",2,"Notonecta glauca 2",2,10,7,3,1,9,2018-01-23
48,"Notonecta glauca",2,"Notonecta glauca 2",2,10,6,4,1,30,2018-02-14
49,"Notonecta glauca",2,"Notonecta glauca 2",2,30,22,8,1,12,2017-12-19
50,"Notonecta glauca",2,"Notonecta glauca 2",2,30,14,16,1,28,2018-01-23
51,"Notonecta glauca",2,"Notonecta glauca 2",2,30,17,13,1,4,2018-02-14
52,"Notonecta glauca",2,"Notonecta glauca 2",2,120,106,14,1,28,2017-12-19
53,"Notonecta glauca",2,"Notonecta glauca 2",2,120,105,15,1,25,2018-01-23
54,"Notonecta glauca",2,"Notonecta glauca 2",2,120,104,16,1,24,2018-02-14
55,"Notonecta glauca",3,"Notonecta glauca 3",3,1,1,0,1,17,2017-12-19
56,"Notonecta glauca",3,"Notonecta glauca 3",3,1,0,1,1,5,2018-01-23
57,"Notonecta glauca",3,"Notonecta glauca 3",3,1,1,0,1,20,2018-02-14
58,"Notonecta glauca",3,"Notonecta glauca 3",3,3,2,1,1,22,2017-12-19
59,"Notonecta glauca",3,"Notonecta glauca 3",3,3,1,2,1,12,2018-01-23
60,"Notonecta glauca",3,"Notonecta glauca 3",3,3,2,1,1,14,2018-02-14
61,"Notonecta glauca",3,"Notonecta glauca 3",3,5,5,0,1,19,2017-12-19
62,"Notonecta glauca",3,"Notonecta glauca 3",3,5,2,3,1,3,2018-01-23
63,"Notonecta glauca",3,"Notonecta glauca 3",3,5,2,3,1,5,2018-02-14
64,"Notonecta glauca",3,"Notonecta glauca 3",3,10,8,2,1,20,2017-12-19
65,"Notonecta glauca",3,"Notonecta glauca 3",3,10,9,1,1,4,2018-01-23
66,"Notonecta glauca",3,"Notonecta glauca 3",3,10,8,2,1,10,2018-02-14
67,"Notonecta glauca",3,"Notonecta glauca 3",3,30,24,6,1,13,2017-12-19
68,"Notonecta glauca",3,"Notonecta glauca 3",3,30,18,12,1,8,2018-01-23
69,"Notonecta glauca",3,"Notonecta glauca 3",3,30,24,6,1,7,2018-02-14
70,"Notonecta glauca",3,"Notonecta glauca 3",3,120,118,2,1,27,2017-12-19
71,"Notonecta glauca",3,"Notonecta glauca 3",3,120,77,43,1,19,2018-01-23
72,"Notonecta glauca",3,"Notonecta glauca 3",3,120,110,10,1,26,2018-02-14
73,"Notonecta glauca",4,"Notonecta glauca 4",3,1,1,0,1,4,2017-12-19
74,"Notonecta glauca",4,"Notonecta glauca 4",3,1,0,1,1,30,2018-01-23
75,"Notonecta glauca",4,"Notonecta glauca 4",3,1,1,0,1,19,2018-02-14
76,"Notonecta glauca",4,"Notonecta glauca 4",3,3,2,1,1,23,2017-12-19
77,"Notonecta glauca",4,"Notonecta glauca 4",3,3,1,2,1,17,2018-01-23
78,"Notonecta glauca",4,"Notonecta glauca 4",3,3,2,1,1,28,2018-02-14
79,"Notonecta glauca",4,"Notonecta glauca 4",3,5,5,0,1,2,2017-12-19
80,"Notonecta glauca",4,"Notonecta glauca 4",3,5,1,4,1,26,2018-01-23
81,"Notonecta glauca",4,"Notonecta glauca 4",3,5,5,0,1,23,2018-02-14
82,"Notonecta glauca",4,"Notonecta glauca 4",3,10,9,1,1,16,2017-12-19
83,"Notonecta glauca",4,"Notonecta glauca 4",3,10,4,6,1,23,2018-01-23
84,"Notonecta glauca",4,"Notonecta glauca 4",3,10,9,1,1,16,2018-02-14
85,"Notonecta glauca",4,"Notonecta glauca 4",3,30,28,2,1,1,2017-12-19
86,"Notonecta glauca",4,"Notonecta glauca 4",3,30,23,7,1,14,2018-01-23
87,"Notonecta glauca",4,"Notonecta glauca 4",3,30,18,12,1,3,2018-02-14
88,"Notonecta glauca",4,"Notonecta glauca 4",3,120,117,3,1,6,2017-12-19
89,"Notonecta glauca",4,"Notonecta glauca 4",3,120,99,21,1,15,2018-01-23
90,"Notonecta glauca",4,"Notonecta glauca 4",3,120,113,7,1,25,2018-02-14
91,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,2,19,2018-04-04
92,"Notonecta glauca",0,"Notonecta glauca 0",0,1,1,0,2,27,2018-04-11
93,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,2,12,2018-04-16
94,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,2,27,2018-04-04
95,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,2,18,2018-04-11
96,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,2,38,2018-04-16
97,"Notonecta glauca",0,"Notonecta glauca 0",0,5,3,2,2,4,2018-04-04
98,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,2,37,2018-04-11
99,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,2,39,2018-04-16
100,"Notonecta glauca",0,"Notonecta glauca 0",0,10,3,7,2,37,2018-04-04
101,"Notonecta glauca",0,"Notonecta glauca 0",0,10,8,2,2,3,2018-04-11
102,"Notonecta glauca",0,"Notonecta glauca 0",0,10,7,3,2,33,2018-04-16
103,"Notonecta glauca",0,"Notonecta glauca 0",0,30,14,16,2,40,2018-04-04
104,"Notonecta glauca",0,"Notonecta glauca 0",0,30,18,12,2,23,2018-04-11
105,"Notonecta glauca",0,"Notonecta glauca 0",0,30,20,10,2,40,2018-04-16
106,"Notonecta glauca",0,"Notonecta glauca 0",0,80,41,39,2,1,2018-04-04
107,"Notonecta glauca",0,"Notonecta glauca 0",0,80,54,26,2,12,2018-04-11
108,"Notonecta glauca",0,"Notonecta glauca 0",0,80,67,13,2,27,2018-04-16
109,"Notonecta glauca",0,"Notonecta glauca 0",0,120,113,7,2,25,2018-04-04
110,"Notonecta glauca",0,"Notonecta glauca 0",0,120,107,13,2,16,2018-04-11
111,"Notonecta glauca",0,"Notonecta glauca 0",0,120,89,31,2,2,2018-04-16
112,"Notonecta glauca",0,"Notonecta glauca 0",0,180,131,49,2,5,2018-04-04
113,"Notonecta glauca",0,"Notonecta glauca 0",0,180,143,37,2,7,2018-04-11
114,"Notonecta glauca",0,"Notonecta glauca 0",0,180,166,14,2,15,2018-04-16
115,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,2,26,2018-04-04
116,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,2,19,2018-04-11
117,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,2,23,2018-04-16
118,"Notonecta glauca",1,"Notonecta glauca 1",2,3,1,2,2,10,2018-04-04
119,"Notonecta glauca",1,"Notonecta glauca 1",2,3,3,0,2,6,2018-04-11
120,"Notonecta glauca",1,"Notonecta glauca 1",2,3,2,1,2,1,2018-04-16
121,"Notonecta glauca",1,"Notonecta glauca 1",2,5,1,4,2,38,2018-04-04
122,"Notonecta glauca",1,"Notonecta glauca 1",2,5,3,2,2,13,2018-04-11
123,"Notonecta glauca",1,"Notonecta glauca 1",2,5,0,5,2,36,2018-04-16
124,"Notonecta glauca",1,"Notonecta glauca 1",2,10,8,2,2,36,2018-04-04
125,"Notonecta glauca",1,"Notonecta glauca 1",2,10,8,2,2,26,2018-04-11
126,"Notonecta glauca",1,"Notonecta glauca 1",2,10,1,9,2,31,2018-04-16
